id;nature;couleur;nb_places;date_realisation;observations;meta_insee;meta_siren;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_actif;meta_resolution_spatiale;meta_licence;meta_observations;meta_genealogie;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
763;;;;;;84007;;20190425154618;20190425154618;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;850806.3581334635;6315122.756084402;4.877741110057679;43.918970613937525;43.918970613937525;4.877741110057679
764;;;;;;84007;;20190425154618;20190425154618;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;850754.5724817108;6315161.397365832;4.877107987760153;43.919329346909166;43.919329346909166;4.877107987760153
765;;;;;;84007;;20190425154618;20190425154618;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;850773.8931224259;6315169.315661207;4.877350810119861;43.91939645406708;43.91939645406708;4.877350810119861
766;;;;;;84007;;20190425154618;20190425154618;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;850965.7534193628;6315039.059702286;4.879700242256704;43.918183476563236;43.918183476563236;4.879700242256704
787;;;;;;84007;;20190425162538;20190524122545;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845297.0340856045;6315139.714276571;4.809171944361635;43.92028060152951;43.92028060152951;4.809171944361635
684;;;;;;84007;;20190425122235;20190425123302;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845319.474332021;6315205.838798594;4.809470126489324;43.92087090531406;43.92087090531406;4.809470126489324
687;;;;;;84007;;20190425122235;20190425123302;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845295.4696336596;6315850.588934968;4.809355259813104;43.926676765846835;43.926676765846835;4.809355259813104
688;;;;;;84007;;20190425122235;20190425123302;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845310.3232333552;6315851.52712857;4.809540433689473;43.92668214398484;43.92668214398484;4.809540433689473
694;;;;;;84007;;20190425124319;20190425124319;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844162.8093351141;6316647.839569342;4.7954809033895645;43.934082445952605;43.934082445952605;4.7954809033895645
695;;;;;;84007;;20190425124319;20190425124319;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;846197.0985999138;6316161.577050364;4.8206685003604015;43.92928827811512;43.92928827811512;4.8206685003604015
